IMPID	EXPID	0	1	2	
1	2	1	2.23605e-13	0	
1	3	8.9518e-27	1	0	
1	4	1	1.53776e-13	0	
1	5	0	1	0	
1	6	0	6.19343e-303	1	
1	7	1	1.28733e-11	0	
1	8	5.0959e-1521	1	0	
1	9	1.15704e-1029	1	0	
1	10	0	1	0	
2	3	0	5.33215e-322	1	
2	4	1	5.83455e-11	0	
2	5	0	1.49937e-323	1	
2	6	1	1.87243e-15	0	
2	7	1	3.3368e-15	0	
2	8	6.13789e-162	1	0	
2	9	0	8.34179e-336	1	
2	10	1	4.2581e-07	0	
3	4	1.87486e-1228	1	0	
3	5	0	1	0	
3	6	1.47032e-43	1	0	
3	7	1.09976e-31	1	0	
3	8	1	2.90908e-14	0	
3	9	0	1.62374e-313	1	
3	10	0	1.55006e-323	1	
4	5	1	4.46999e-11	0	
4	6	0	1.12525e-330	1	
4	7	3.25003e-943	1	0	
4	8	1	1.7701e-11	0	
4	9	0	1.9368e-322	1	
4	10	7.46993e-24	1	0	
5	6	2.79309e-22	1	0	
5	7	5.36484e-21	1	0	
5	8	1	4.03085e-15	0	
5	9	1	9.62226e-14	0	
5	10	1	3.25425e-15	0	
6	7	0	1	0	
6	8	1	2.35447e-12	0	
6	9	0	1.0574e-291	1	
6	10	0	4.90861e-324	1	
7	8	3.40299e-1547	1	0	
7	9	4.30082e-397	1	0	
7	10	1.93861e-549	1	0	
8	9	1	4.99152e-12	0	
8	10	4.98458e-34	1	0	
9	10	1	2.12074e-14	0	
