imp	exp	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"
3	1	0	0.102122	0.0977152	0	0	0	0.020583	0	0	0	0.0623956	0	0	0	0	0.0614184	0.100494	0	0	0	0.00181746	0	0.0806181	0	0.0408538	0	0	0.0677944	0	0	0.0939164	0	0.0443041	0.0994427	0	0.098756	0	0	0.0277694	0	0.0621696	0	0	0	0	0	0	0	0.0101868	0	0.0675789	0	0	0.0521559	0.0633021	0.0664708	0	0	0	0	0.00193206	0	0	0.0708125	0	0	0	0	0.0739853	0.114546	0.101606	0	0.0479528	0.107642	0.0528131	0.106846	0	0	0	0
1	4	0.0625544	0	0	0	0	0.0900919	0	0	0	0	0	0	0	0.0524458	0.0637078	0.0668692	0	0	0	0	0.00195454	0.108234	0.0877724	0	0	0.0402261	0	0.0738034	0	0.115257	0.102197	0	0	0	0	0	0.00322707	0.0402854	0	0.0913744	0	0	0.106857	0	0	0.0905041	0	0	0.0102764	0.0602151	0	0	0.0298346	0.0527016	0.0639941	0	0	0	0.00478433	0.0118208	0.0019516	0	0.0881763	0	0.0446887	0	0	0.0741496	0	0.115755	0	0	0.0484851	0.108777	0.0534098	0	0.00326494	0	0.030354	0
1	5	0	0.120628	0	0	0	0.0976962	0	0	0	0	0	0	0	0	0.0690492	0.0724905	0.118611	0	0.00518948	0	0	0.117377	0	0	0.0482374	0	0	0.0800729	0.0807332	0	0	0	0.0522855	0	0.0576512	0	0.00350131	0.0436712	0.0328058	0	0	0.113945	0	0	0	0.0922954	0	0	0	0	0	0	0	0.0537319	0	0.0684807	0	0	0.00486746	0	0.00204651	0	0.0898953	0	0	0	0	0.0756405	0.0762637	0.118056	0	0	0.0494134	0.11092	0	0.110145	0.00333948	0	0.0309593	0
10	1	0	0	0	0.171777	0	0	0.0344779	0	0	0	0	0.1244	0	0.080783	0	0.102936	0	0	0.00731435	0	0	0	0	0	0	0	0	0.113649	0	0.177441	0	0	0	0	0	0	0	0	0.0465122	0.14071	0.0498213	0.0885439	0	0.0888435	0.0282759	0.0717541	0.017835	0	0	0	0.0541178	0.0643387	0	0	0.0507135	0.0532548	0.0871293	0	0	0	0.00155569	0	0	0	0.0354236	0	0	0.058785	0.0593139	0.091784	0	0.0601055	0.0384045	0	0	0	0	0	0	0
4	2	0	0.133943	0.128174	0	0	0.108579	0	0	0	0	0	0	0	0.0632228	0.0767385	0	0.131787	0	0	0.0142198	0	0	0	0	0	0	0	0	0.0896997	0	0.12319	0	0	0.130446	0	0	0	0	0	0	0	0	0.115799	0	0.038608	0	0	0	0	0.0652199	0.0739493	0.0879388	0	0.0570833	0.0693306	0.0727588	0	0.0221744	0.00518298	0	0.00215501	0	0.0954997	0	0	0.0437847	0	0	0.0810864	0	0	0	0.0524858	0	0	0.116944	0	0	0	0
2	7	0	0	0.139605	0.14642	0	0	0.0293827	0.015798	0.0134562	0.0786016	0	0	0	0	0.083562	0	0	0	0.00622815	0	0.0025969	0	0	0.0934646	0.0583716	0	0	0	0	0	0	0.0990046	0	0	0.0697242	0	0.00422635	0	0.039659	0.1199	0	0	0	0.163791	0	0	0	0.0177064	0	0	0.0997419	0.118589	0.0435575	0	0	0.0981556	0	0	0.00698512	0	0	0.158891	0.128859	0	0	0	0	0	0	0	0	0	0	0.158967	0	0	0.00475652	0	0	0
2	8	0.0995824	0	0.169379	0	0	0	0	0	0	0	0	0	0	0.083513	0	0	0.174177	0.0324671	0.00763635	0.0187478	0	0	0	0	0	0	0	0	0.118483	0	0	0	0.0767967	0	0	0.171122	0	0	0.0480944	0	0	0	0	0	0	0	0	0	0.0174505	0.102319	0	0	0	0.0895863	0	0	0.186792	0	0.00811602	0	0.00344849	0	0	0	0.0759287	0	0.0659271	0.126071	0	0	0	0	0.0823252	0.184844	0	0	0.00562282	0	0.0515685	0
5	3	0.0826424	0	0	0	0	0.11897	0.0295688	0	0	0	0.0897545	0	0	0.0692754	0	0	0	0	0.00627318	0	0	0.142903	0	0	0.0587394	0	0.0509643	0	0	0.152207	0.134996	0	0.0637071	0	0	0	0	0	0	0	0.067088	0	0	0.119592	0.0380533	0	0	0.0129119	0	0	0.0728418	0	0	0.0562206	0	0	0	0.0218793	0	0.0126439	0	0	0	0.0763321	0	0	0	0.0791303	0	0.123549	0.109588	0	0.0517246	0	0	0.115238	0	0.0432065	0	0
3	6	0.0175195	0.0154522	0.0269105	0.00542377	0.0137982	0.00780551	0.00594215	0.0252784	0.0542956	0.0532993	0.0443921	0.030684	0.0260778	0.0129645	0.0140146	0.0333287	0	0.0422382	0.0312088	0.00688681	0.00972158	0.00946877	0.0547319	0.0030555	0.0341656	0.00712883	0.0289532	0.0116986	0.0288343	0.0222955	0.033198	0.0509911	0.0329242	0.0452118	0.0427808	0.03421	0.0302575	0.0169532	0.00831143	0.0275875	0.018267	0.0161106	0.0280602	0.00565519	0.0143863	0.00813867	0.00619483	0.0263587	0.056612	0.0555745	0.0462857	0.0319931	0.027191	0.0135175	0.0146125	0.03475	0.0161555	0.0440405	0.0325406	0.00718195	0.0101366	0.00987282	0.0570677	0.00318566	0.0356236	0.00743318	0.030189	0.0121986	0	0.023246	0.0346153	0.053166	0.0343287	0.0471426	0.0446078	0.0356697	0.0315481	0.0176771	0.00866545	0
3	7	0	0.098696	0.0943878	0	0.0314968	0.0799421	0.0198588	0	0	0.0531809	0	0	0.0263253	0	0	0	0	0	0	0	0.00176791	0.0960218	0	0.0632209	0	0.0357387	0	0.0655057	0.0660565	0	0.0907016	0	0	0.0960459	0	0	0	0	0	0.0810534	0	0	0	0	0	0	0	0	0	0	0.120192	0	0	0	0	0	0	0.0360619	0.00840298	0	0	0	0	0	0	0	0	0.130533	0.131669	0.203805	0	0	0.0852776	0	0.0939867	0.190071	0	0	0	0
